"Participant_ID","Age","Gender","Location","Education","COVID_Awareness_Level","Received_Info_Social_Media","Vaccine_Hesitancy","Reasons_For_Hesitancy"
113,45,"Female","Urban","College","High","No","No",""
114,24,"Male","Urban","Graduate School","Medium","No","Yes",""
115,26,"Female","Rural","Graduate School","High","Yes","No",""
116,25,"Female","Urban","High School","High","Yes","Yes",""
117,29,"Female","Urban","High School","Medium","Yes","Yes",""
118,51,"Male","Rural","High School","Medium","Yes","No",""
119,50,"Female","Rural","College","Medium","Yes","Yes","Concerns about side effects"
120,40,"Female","Suburban","Graduate School","Low","Yes","Yes",""
121,41,"Female","Urban","Graduate School","Low","Yes","Not Sure",""
122,54,"Male","Suburban","College","Medium","Yes","No",""
123,52,"Female","Suburban","Graduate School","Low","No","Not Sure",""
124,61,"Female","Rural","Graduate School","High","Yes","Yes",""
125,57,"Female","Urban","High School","Medium","Yes","Yes",""
126,39,"Male","Urban","College","Low","Yes","Not Sure","Concerns about side effects"
127,44,"Female","Rural","High School","Medium","No","Not Sure",""
128,52,"Female","Suburban","College","High","Yes","Not Sure",""
129,18,"Female","Rural","High School","High","No","Yes","Concerns about side effects"
130,52,"Male","Urban","Graduate School","Low","No","No",""
131,54,"Male","Rural","College","High","Yes","Yes",""
132,64,"Female","Urban","College","Medium","No","Not Sure","Concerns about side effects"
133,31,"Male","Suburban","High School","Low","Yes","No",""
134,20,"Male","Urban","College","Medium","Yes","Not Sure",""
135,18,"Male","Suburban","Graduate School","Medium","Yes","Yes",""
136,22,"Female","Suburban","Graduate School","Medium","No","No",""
137,43,"Female","Urban","Graduate School","High","Yes","No",""
138,31,"Male","Urban","High School","Medium","Yes","Yes","Concerns about side effects"
139,56,"Male","Suburban","College","High","Yes","Not Sure",""
140,44,"Male","Rural","High School","Medium","No","Not Sure",""
141,26,"Female","Urban","Graduate School","High","No","Not Sure",""
142,32,"Female","Suburban","College","High","No","Yes",""
143,32,"Male","Suburban","Graduate School","High","No","Not Sure","Concerns about side effects"
144,43,"Male","Rural","College","Medium","Yes","No",""
145,59,"Male","Urban","College","Medium","Yes","Not Sure",""
146,30,"Male","Suburban","High School","High","No","Not Sure","Concerns about side effects"
147,49,"Female","Rural","College","Medium","Yes","No",""
148,56,"Male","Suburban","Graduate School","High","No","No",""
149,49,"Female","Urban","College","Medium","Yes","Not Sure",""
150,21,"Male","Rural","Graduate School","High","Yes","No",""
151,47,"Male","Suburban","High School","High","No","Yes","Concerns about side effects"
152,54,"Male","Rural","Graduate School","Low","No","No",""
153,40,"Male","Urban","College","Medium","Yes","Yes",""
154,56,"Male","Rural","Graduate School","Medium","No","No",""
155,62,"Female","Urban","Graduate School","Low","Yes","Yes",""
156,32,"Male","Suburban","College","High","Yes","Yes",""
157,60,"Male","Urban","Graduate School","High","Yes","Not Sure",""
158,46,"Male","Suburban","College","Low","Yes","No",""
159,53,"Female","Suburban","High School","Low","No","No",""
160,30,"Female","Urban","Graduate School","High","Yes","No",""
161,49,"Female","Suburban","High School","Medium","Yes","Yes","Concerns about side effects"
162,24,"Female","Rural","Graduate School","Low","Yes","Not Sure",""
163,39,"Male","Suburban","Graduate School","Low","No","No",""
164,45,"Male","Urban","High School","Low","Yes","Not Sure",""
165,19,"Male","Rural","Graduate School","Low","No","Not Sure",""
166,59,"Female","Rural","Graduate School","Low","No","Yes","Concerns about side effects"
167,62,"Male","Suburban","High School","Low","No","No",""
168,23,"Male","Suburban","Graduate School","High","No","Not Sure",""
169,45,"Female","Urban","College","High","No","No",""
170,45,"Female","Rural","Graduate School","Low","No","No",""
171,61,"Female","Urban","Graduate School","High","No","No",""
172,61,"Male","Suburban","Graduate School","Medium","Yes","Not Sure",""
173,37,"Male","Rural","High School","Medium","Yes","Yes",""
174,47,"Female","Urban","College","Low","No","Yes",""
175,28,"Male","Urban","College","Medium","No","Not Sure",""
176,45,"Female","Urban","Graduate School","Medium","No","No",""
177,42,"Female","Urban","High School","High","Yes","No",""
178,56,"Male","Urban","High School","High","No","Yes",""
179,50,"Female","Rural","College","High","Yes","Not Sure",""
180,18,"Female","Urban","High School","High","Yes","Not Sure",""
181,44,"Female","Rural","Graduate School","Medium","No","Yes",""
182,30,"Male","Urban","Graduate School","Low","Yes","Not Sure",""
183,58,"Female","Suburban","High School","High","No","Not Sure",""
184,20,"Female","Suburban","Graduate School","Medium","No","Yes",""
185,56,"Female","Urban","College","High","No","Yes","Concerns about side effects"
186,23,"Female","Suburban","Graduate School","Medium","Yes","Not Sure","Concerns about side effects"
187,25,"Female","Rural","High School","High","No","Not Sure",""
188,44,"Female","Urban","College","Low","Yes","Yes",""
189,26,"Female","Rural","Graduate School","High","No","Yes",""
190,54,"Male","Urban","College","Low","No","No",""
191,50,"Male","Suburban","High School","High","No","Not Sure",""
192,59,"Female","Rural","Graduate School","High","No","Not Sure",""
193,61,"Male","Suburban","Graduate School","High","No","Yes",""
194,41,"Male","Suburban","College","Medium","Yes","Yes",""
195,32,"Female","Urban","Graduate School","Medium","No","No",""
196,49,"Male","Rural","Graduate School","Low","No","No",""
197,49,"Female","Suburban","Graduate School","Low","No","Yes",""
198,41,"Female","Urban","Graduate School","Medium","Yes","Not Sure",""
199,58,"Female","Urban","High School","Low","No","No",""
200,29,"Female","Urban","Graduate School","Low","No","Yes",""
201,56,"Female","Suburban","College","Medium","No","Yes",""
202,19,"Male","Urban","High School","Medium","No","Yes",""
203,20,"Female","Rural","College","Medium","Yes","Not Sure",""
204,54,"Male","Rural","College","Medium","No","Yes",""
205,34,"Female","Suburban","College","High","Yes","Yes",""
206,19,"Female","Rural","High School","Medium","Yes","Not Sure",""
207,19,"Female","Urban","High School","Low","Yes","Yes","Concerns about side effects"
208,45,"Male","Suburban","High School","High","Yes","Yes",""
209,40,"Female","Urban","Graduate School","High","No","No",""
210,54,"Female","Suburban","College","Low","No","Yes",""
211,49,"Female","Suburban","High School","High","Yes","Not Sure",""
212,50,"Female","Urban","College","Low","Yes","No",""
213,18,"Male","Rural","High School","High","Yes","Yes",""
214,36,"Female","Rural","High School","High","No","Not Sure",""
215,19,"Male","Suburban","High School","Low","Yes","Yes",""
216,61,"Female","Urban","College","Low","Yes","No",""
217,43,"Male","Urban","Graduate School","Low","Yes","Not Sure",""
218,49,"Male","Suburban","High School","Low","Yes","No",""
219,23,"Female","Rural","High School","Medium","Yes","Not Sure","Concerns about side effects"
220,49,"Female","Urban","High School","Medium","No","Not Sure",""
221,21,"Male","Rural","Graduate School","Low","Yes","Yes",""
222,28,"Female","Rural","College","Medium","No","Not Sure",""
223,34,"Female","Suburban","College","Low","No","Not Sure",""
224,55,"Female","Suburban","College","Low","No","Yes",""
225,41,"Male","Rural","College","High","No","Not Sure",""
226,22,"Female","Urban","High School","Low","No","Not Sure",""
227,51,"Female","Urban","Graduate School","Low","Yes","Not Sure",""
228,23,"Female","Suburban","High School","Low","No","Not Sure",""
229,39,"Male","Rural","Graduate School","Low","No","Yes",""
230,28,"Female","Urban","College","High","Yes","Yes",""
231,33,"Male","Urban","Graduate School","Low","No","No","Concerns about side effects"
232,50,"Female","Suburban","High School","High","Yes","Not Sure",""
233,26,"Male","Rural","High School","Low","Yes","Yes",""
234,23,"Female","Urban","College","High","Yes","Not Sure",""
235,33,"Female","Suburban","High School","Medium","Yes","Yes",""
236,46,"Male","Urban","High School","High","Yes","No","Concerns about side effects"
237,20,"Male","Urban","Graduate School","High","No","Not Sure",""
238,37,"Male","Urban","High School","Low","Yes","No",""
239,53,"Female","Suburban","College","High","Yes","No",""
240,36,"Female","Rural","College","High","No","No",""
241,43,"Female","Suburban","High School","Low","No","Yes",""
242,20,"Female","Rural","College","Medium","No","Not Sure",""
243,36,"Male","Urban","Graduate School","Medium","No","Yes","Concerns about side effects"
244,37,"Female","Rural","Graduate School","Medium","Yes","Yes",""
245,49,"Female","Urban","High School","High","No","Not Sure",""
246,24,"Female","Urban","High School","Low","Yes","Not Sure",""
247,58,"Female","Suburban","Graduate School","Medium","No","Not Sure",""
248,50,"Female","Urban","College","Medium","No","Not Sure",""
249,57,"Female","Suburban","High School","Medium","No","Yes",""
250,56,"Female","Rural","High School","Medium","No","Not Sure",""
251,35,"Male","Rural","College","Low","No","Not Sure","Concerns about side effects"
252,57,"Female","Urban","High School","Medium","Yes","Not Sure","Concerns about side effects"
253,18,"Female","Suburban","College","High","Yes","No","Concerns about side effects"
254,28,"Female","Urban","College","High","Yes","Not Sure",""
255,45,"Female","Suburban","College","Low","No","Not Sure","Concerns about side effects"
256,42,"Male","Suburban","College","Medium","Yes","Yes",""
257,40,"Male","Suburban","College","Medium","No","No",""
258,48,"Male","Rural","Graduate School","High","No","Yes",""
259,47,"Male","Suburban","College","Low","Yes","No",""
260,59,"Male","Rural","Graduate School","High","Yes","Yes",""
261,52,"Male","Suburban","College","Low","No","Yes",""
262,24,"Female","Rural","High School","Low","No","Not Sure",""
263,33,"Male","Rural","Graduate School","Low","Yes","Not Sure",""
264,43,"Male","Rural","High School","High","No","No",""
265,19,"Female","Urban","College","Low","Yes","No",""
266,18,"Male","Suburban","College","High","Yes","No",""
267,29,"Female","Urban","High School","High","No","Not Sure",""
268,22,"Female","Suburban","College","Medium","No","Yes",""
269,54,"Male","Suburban","High School","High","No","No",""
270,49,"Female","Urban","College","High","No","Not Sure",""
271,26,"Male","Rural","College","Medium","Yes","Not Sure",""
272,58,"Male","Suburban","Graduate School","Medium","No","Yes",""
273,52,"Female","Rural","High School","Medium","Yes","Yes",""
274,36,"Female","Urban","College","Low","Yes","Not Sure",""
275,33,"Male","Rural","High School","Low","No","Yes","Concerns about side effects"
276,20,"Female","Suburban","Graduate School","Medium","Yes","Yes",""
277,37,"Female","Suburban","High School","Low","No","Not Sure",""
278,41,"Male","Suburban","Graduate School","Medium","No","No","Concerns about side effects"
279,50,"Male","Urban","High School","Low","Yes","No","Concerns about side effects"
280,41,"Female","Suburban","High School","High","Yes","Not Sure",""
281,28,"Male","Urban","Graduate School","Low","Yes","No",""
282,25,"Male","Rural","College","Low","No","Not Sure",""
283,53,"Male","Suburban","College","High","No","Not Sure",""
284,55,"Male","Suburban","College","Medium","Yes","Yes",""
285,57,"Male","Suburban","High School","Low","No","No",""
286,37,"Male","Rural","High School","Low","No","Not Sure",""
287,52,"Male","Suburban","College","High","Yes","No",""
288,42,"Female","Urban","High School","High","No","No",""
289,52,"Male","Rural","High School","High","Yes","No",""
290,42,"Female","Rural","College","High","Yes","Not Sure",""
291,46,"Female","Rural","Graduate School","Medium","Yes","Yes",""
292,35,"Female","Rural","High School","Low","No","No",""
293,63,"Male","Rural","High School","Low","Yes","Not Sure",""
294,35,"Male","Urban","High School","Low","Yes","No",""
295,19,"Female","Rural","High School","Low","Yes","Yes",""
296,52,"Male","Suburban","Graduate School","Medium","Yes","No",""
297,33,"Female","Rural","College","Low","No","Not Sure",""
298,58,"Male","Rural","High School","Medium","Yes","No",""
299,53,"Male","Rural","College","Medium","No","No",""
300,50,"Female","Rural","High School","High","Yes","No",""
301,21,"Female","Rural","Graduate School","High","No","Yes",""
302,50,"Female","Urban","College","Low","No","No",""
303,31,"Male","Urban","Graduate School","Medium","No","Not Sure",""
304,38,"Female","Rural","High School","High","No","No",""
305,37,"Male","Urban","Graduate School","Medium","Yes","No",""
306,25,"Male","Suburban","Graduate School","High","Yes","No","Concerns about side effects"
307,24,"Male","Rural","High School","Medium","No","Yes",""
308,20,"Female","Suburban","High School","Low","No","Not Sure","Concerns about side effects"
309,34,"Female","Suburban","College","Low","No","No",""
310,50,"Female","Rural","High School","Medium","Yes","Not Sure","Concerns about side effects"
311,29,"Male","Suburban","College","High","No","Not Sure",""
312,39,"Male","Suburban","Graduate School","High","No","Yes","Concerns about side effects"
313,39,"Female","Suburban","Graduate School","Low","Yes","Not Sure",""
314,63,"Male","Rural","College","Low","Yes","No",""
315,47,"Male","Rural","High School","Low","Yes","Yes","Concerns about side effects"
316,55,"Female","Suburban","High School","High","Yes","Yes",""
317,55,"Female","Rural","Graduate School","High","Yes","Not Sure",""
318,62,"Female","Rural","College","Low","Yes","Yes",""
319,25,"Male","Suburban","Graduate School","Medium","No","Not Sure",""
320,44,"Male","Rural","Graduate School","High","No","Not Sure",""
321,44,"Male","Urban","High School","Low","Yes","Yes",""
322,51,"Male","Rural","College","Medium","No","No",""
323,38,"Male","Urban","Graduate School","High","Yes","Not Sure",""
324,47,"Female","Suburban","High School","Medium","No","Yes",""
325,50,"Male","Rural","Graduate School","Medium","Yes","Yes",""
326,45,"Male","Suburban","Graduate School","High","Yes","Not Sure",""
327,64,"Male","Suburban","High School","Low","No","Not Sure","Concerns about side effects"
328,50,"Female","Suburban","High School","Medium","No","Not Sure",""
329,22,"Female","Suburban","College","Low","Yes","Not Sure",""
330,36,"Female","Suburban","Graduate School","High","Yes","No",""
331,21,"Male","Rural","College","Medium","Yes","No","Concerns about side effects"
332,52,"Female","Urban","High School","Medium","Yes","No",""
333,34,"Female","Rural","High School","Medium","Yes","No",""
334,61,"Female","Rural","Graduate School","Medium","Yes","Yes",""
335,45,"Male","Rural","College","Medium","No","Not Sure",""
336,47,"Female","Rural","College","High","No","Yes",""
337,46,"Male","Urban","Graduate School","Medium","No","Yes","Concerns about side effects"
338,63,"Male","Rural","Graduate School","High","No","No",""
339,23,"Female","Suburban","College","Low","No","Yes",""
340,52,"Male","Rural","High School","High","Yes","No",""
341,58,"Female","Rural","High School","Medium","Yes","Not Sure",""
342,54,"Male","Urban","Graduate School","Low","No","No",""
343,41,"Female","Urban","College","High","Yes","Not Sure","Concerns about side effects"
344,46,"Female","Suburban","College","High","No","No",""
345,63,"Female","Rural","College","High","No","Yes",""
346,48,"Male","Rural","High School","Medium","Yes","Yes",""
347,52,"Female","Rural","High School","Medium","Yes","No",""
348,50,"Male","Suburban","College","High","No","Not Sure","Concerns about side effects"
349,38,"Female","Urban","College","High","No","Not Sure",""
350,49,"Male","Suburban","Graduate School","Low","No","No",""
351,40,"Male","Rural","Graduate School","Medium","No","Yes",""
352,50,"Female","Urban","College","Medium","Yes","Not Sure",""
353,20,"Female","Urban","College","Low","No","No",""
354,35,"Female","Suburban","High School","High","Yes","Not Sure",""
355,42,"Female","Urban","College","High","No","Yes",""
356,59,"Female","Urban","Graduate School","Low","No","Not Sure",""
357,48,"Male","Rural","High School","High","Yes","No",""
358,20,"Female","Rural","Graduate School","High","Yes","Not Sure",""
359,57,"Female","Urban","Graduate School","Low","Yes","Not Sure","Concerns about side effects"
360,63,"Male","Urban","High School","Low","Yes","Yes",""
361,41,"Female","Suburban","Graduate School","Low","Yes","Yes",""
362,49,"Female","Suburban","College","High","No","Yes",""
363,64,"Male","Urban","Graduate School","Low","No","Yes",""
364,39,"Female","Rural","High School","High","No","No",""
365,40,"Female","Urban","High School","Medium","Yes","Not Sure",""
366,19,"Female","Urban","High School","Medium","Yes","Not Sure",""
367,44,"Male","Rural","Graduate School","Low","Yes","Not Sure","Concerns about side effects"
368,59,"Female","Rural","College","High","No","Not Sure",""
369,19,"Male","Suburban","High School","High","Yes","No",""
370,43,"Female","Suburban","College","High","No","Yes",""
371,34,"Male","Suburban","High School","Low","No","Not Sure",""
372,57,"Female","Suburban","College","High","No","Not Sure",""
373,50,"Male","Rural","College","High","Yes","Yes",""
374,26,"Male","Urban","College","High","No","Yes","Concerns about side effects"
375,60,"Male","Suburban","High School","Medium","No","Not Sure",""
376,56,"Male","Suburban","Graduate School","High","No","Yes",""
377,46,"Male","Rural","Graduate School","Medium","Yes","Not Sure",""
378,59,"Male","Rural","Graduate School","High","No","Not Sure",""
379,43,"Female","Urban","College","High","Yes","Not Sure","Concerns about side effects"
380,52,"Female","Urban","High School","High","Yes","Not Sure",""
381,42,"Male","Rural","College","Medium","No","Not Sure",""
382,41,"Male","Suburban","High School","High","No","Not Sure",""
383,30,"Male","Suburban","College","Low","Yes","Yes","Concerns about side effects"
384,24,"Male","Suburban","High School","High","No","No",""
385,53,"Female","Urban","High School","Medium","Yes","No","Concerns about side effects"
386,62,"Male","Suburban","High School","Medium","Yes","Not Sure",""
387,37,"Female","Suburban","College","Low","Yes","Yes",""
388,18,"Female","Rural","Graduate School","Low","No","Not Sure",""
389,25,"Male","Suburban","College","Low","Yes","Yes",""
390,63,"Male","Rural","College","Medium","Yes","Not Sure",""
391,33,"Female","Suburban","High School","High","No","Not Sure",""
392,31,"Female","Urban","High School","High","No","No",""
393,29,"Male","Suburban","Graduate School","Low","Yes","Yes",""
394,40,"Male","Suburban","Graduate School","Low","Yes","Yes",""
395,32,"Male","Rural","High School","High","Yes","No",""
396,45,"Female","Rural","Graduate School","Low","No","No",""
397,51,"Female","Rural","Graduate School","High","Yes","No","Concerns about side effects"
398,19,"Male","Suburban","High School","High","Yes","No",""
399,49,"Female","Suburban","College","High","No","Yes",""
400,40,"Female","Urban","Graduate School","High","No","Yes",""
401,39,"Male","Suburban","High School","Medium","Yes","No",""
402,42,"Male","Urban","Graduate School","High","No","Not Sure","Concerns about side effects"
403,39,"Female","Rural","Graduate School","Low","Yes","Not Sure",""
404,39,"Female","Rural","High School","Low","Yes","Not Sure",""
405,59,"Male","Rural","Graduate School","Low","No","Not Sure",""
406,23,"Male","Urban","Graduate School","Low","Yes","Yes","Concerns about side effects"
407,32,"Male","Suburban","Graduate School","Medium","Yes","Yes","Concerns about side effects"
408,60,"Male","Rural","College","High","No","Yes","Concerns about side effects"
409,54,"Male","Suburban","College","High","Yes","Not Sure",""
410,50,"Female","Suburban","Graduate School","Low","No","No",""
411,25,"Female","Rural","High School","Low","Yes","Not Sure","Concerns about side effects"
412,61,"Female","Urban","Graduate School","Low","No","Yes",""
413,61,"Female","Suburban","Graduate School","High","No","Not Sure",""
414,22,"Male","Rural","College","Medium","No","No",""
415,56,"Male","Suburban","College","Medium","No","No",""
416,21,"Male","Suburban","College","Medium","No","Not Sure",""
417,23,"Female","Suburban","Graduate School","Medium","No","Yes",""
418,62,"Female","Suburban","Graduate School","Low","Yes","Yes","Concerns about side effects"
419,49,"Female","Suburban","High School","High","Yes","Yes",""
420,47,"Male","Urban","Graduate School","Low","No","Not Sure",""
421,64,"Female","Urban","Graduate School","Medium","Yes","Yes",""
422,52,"Male","Rural","College","Low","No","Not Sure","Concerns about side effects"
423,57,"Male","Urban","College","Medium","No","Yes",""
424,33,"Male","Urban","College","High","Yes","No",""
425,30,"Male","Urban","College","Medium","No","No",""
426,59,"Male","Suburban","College","Low","Yes","Yes",""
427,47,"Male","Suburban","High School","High","No","Not Sure",""
428,36,"Female","Rural","High School","Medium","No","Yes","Concerns about side effects"
429,34,"Male","Rural","High School","Medium","Yes","Not Sure",""
430,36,"Male","Rural","College","High","No","No",""
431,45,"Female","Suburban","College","Low","No","Not Sure",""
432,43,"Male","Urban","College","High","No","Yes",""
433,54,"Female","Urban","High School","Low","Yes","No",""
434,43,"Female","Suburban","College","Medium","Yes","Not Sure",""
435,40,"Female","Rural","High School","Medium","Yes","Not Sure","Concerns about side effects"
436,26,"Male","Rural","College","High","Yes","No",""
437,29,"Male","Rural","Graduate School","Medium","Yes","Yes",""
438,18,"Female","Suburban","High School","High","No","No","Concerns about side effects"
439,18,"Male","Rural","Graduate School","Medium","Yes","Yes",""
440,64,"Male","Rural","High School","Medium","Yes","Yes","Concerns about side effects"
441,51,"Female","Suburban","College","Low","No","Not Sure",""
442,49,"Female","Urban","College","High","No","Yes",""
443,42,"Male","Suburban","Graduate School","High","Yes","Yes",""
444,57,"Female","Suburban","College","Medium","No","No",""
445,62,"Female","Suburban","High School","Low","No","No","Concerns about side effects"
446,18,"Female","Suburban","College","Low","No","Yes",""
447,33,"Male","Urban","College","High","Yes","Not Sure",""
448,56,"Male","Rural","High School","High","No","No",""
449,22,"Male","Suburban","Graduate School","Medium","No","Not Sure",""
450,39,"Female","Urban","Graduate School","High","Yes","No",""
451,46,"Male","Rural","College","Medium","No","No","Concerns about side effects"
452,20,"Female","Rural","High School","Low","No","Yes",""
453,29,"Male","Rural","Graduate School","High","Yes","No",""
454,43,"Male","Suburban","Graduate School","Low","Yes","No",""
455,33,"Female","Suburban","College","Low","Yes","Not Sure","Concerns about side effects"
456,54,"Male","Rural","High School","Medium","No","No",""
457,39,"Female","Rural","Graduate School","Low","Yes","No","Concerns about side effects"
458,46,"Male","Rural","College","Medium","Yes","Not Sure",""
459,31,"Male","Rural","College","Medium","No","Yes",""
460,45,"Female","Rural","College","Low","No","Yes","Concerns about side effects"
461,22,"Female","Rural","College","Low","No","No","Concerns about side effects"
462,64,"Female","Urban","Graduate School","Medium","No","No",""
463,47,"Male","Rural","High School","Medium","No","Not Sure",""
464,63,"Male","Suburban","College","Low","Yes","Yes","Concerns about side effects"
465,22,"Male","Suburban","College","Medium","Yes","Yes",""
466,29,"Female","Suburban","Graduate School","Medium","Yes","Yes",""
467,33,"Female","Rural","College","High","No","Not Sure",""
468,43,"Female","Suburban","College","High","Yes","Not Sure","Concerns about side effects"
469,43,"Male","Urban","High School","High","No","Not Sure","Concerns about side effects"
