"Participant_ID","Ad_Type","Feel_About_Info_Social_Media"
241,"Reason","Positive"
242,"Reason","Neutral"
243,"Emotions","Negative"
244,"Control","Negative"
245,"Control","Positive"
246,"Control","Neutral"
247,"Reason","Neutral"
248,"Emotions","Positive"
249,"Emotions","Negative"
250,"Reason","Negative"
251,"Emotions","Positive"
252,"Emotions","Positive"
253,"Control","Positive"
254,"Reason","Negative"
255,"Reason","Positive"
256,"Reason","Neutral"
257,"Reason","Positive"
258,"Control","Neutral"
259,"Emotions","Neutral"
260,"Emotions","Positive"
261,"Control","Neutral"
262,"Emotions","Negative"
263,"Reason","Positive"
264,"Control","Negative"
265,"Control","Negative"
266,"Reason","Neutral"
267,"Reason","Negative"
268,"Reason","Negative"
269,"Emotions","Positive"
270,"Reason","Positive"
271,"Control","Negative"
272,"Emotions","Neutral"
273,"Emotions","Neutral"
274,"Control","Positive"
275,"Emotions","Positive"
276,"Reason","Positive"
277,"Reason","Neutral"
278,"Reason","Positive"
279,"Reason","Negative"
280,"Emotions","Neutral"
281,"Control","Negative"
282,"Emotions","Positive"
283,"Control","Neutral"
284,"Control","Positive"
285,"Reason","Neutral"
286,"Emotions","Positive"
287,"Reason","Neutral"
288,"Emotions","Neutral"
289,"Emotions","Neutral"
290,"Reason","Negative"
291,"Emotions","Positive"
292,"Reason","Positive"
293,"Control","Neutral"
294,"Reason","Negative"
295,"Emotions","Neutral"
296,"Emotions","Positive"
297,"Control","Positive"
298,"Control","Neutral"
299,"Control","Neutral"
300,"Reason","Neutral"
301,"Reason","Positive"
302,"Emotions","Neutral"
303,"Control","Neutral"
304,"Control","Positive"
305,"Reason","Neutral"
306,"Emotions","Negative"
307,"Control","Positive"
308,"Reason","Neutral"
309,"Reason","Neutral"
310,"Control","Positive"
311,"Control","Positive"
312,"Emotions","Negative"
313,"Control","Neutral"
314,"Reason","Neutral"
315,"Control","Neutral"
316,"Control","Positive"
317,"Emotions","Positive"
318,"Reason","Positive"
319,"Control","Neutral"
320,"Reason","Neutral"
321,"Emotions","Positive"
322,"Reason","Negative"
323,"Control","Neutral"
324,"Control","Negative"
325,"Emotions","Positive"
326,"Emotions","Neutral"
327,"Emotions","Negative"
328,"Reason","Neutral"
329,"Reason","Negative"
330,"Reason","Neutral"
331,"Reason","Negative"
332,"Emotions","Negative"
333,"Reason","Positive"
334,"Reason","Positive"
335,"Reason","Negative"
336,"Reason","Neutral"
337,"Emotions","Negative"
338,"Emotions","Neutral"
339,"Control","Neutral"
340,"Control","Neutral"
341,"Reason","Neutral"
342,"Reason","Positive"
343,"Emotions","Negative"
344,"Control","Neutral"
345,"Reason","Positive"
346,"Control","Neutral"
347,"Control","Neutral"
348,"Control","Positive"
349,"Emotions","Positive"
350,"Reason","Neutral"
351,"Reason","Negative"
352,"Emotions","Positive"
353,"Emotions","Negative"
354,"Emotions","Neutral"
355,"Control","Neutral"
356,"Control","Neutral"
357,"Reason","Neutral"
358,"Reason","Neutral"
359,"Control","Neutral"
360,"Control","Negative"
361,"Emotions","Positive"
362,"Control","Neutral"
363,"Reason","Positive"
364,"Reason","Negative"
365,"Emotions","Neutral"
366,"Emotions","Neutral"
367,"Reason","Positive"
368,"Control","Positive"
369,"Control","Positive"
370,"Reason","Neutral"
371,"Control","Positive"
372,"Control","Positive"
373,"Reason","Negative"
374,"Reason","Neutral"
375,"Emotions","Neutral"
376,"Reason","Neutral"
377,"Emotions","Positive"
378,"Emotions","Negative"
379,"Control","Positive"
380,"Reason","Neutral"
381,"Control","Positive"
382,"Reason","Neutral"
383,"Reason","Positive"
384,"Control","Positive"
385,"Emotions","Neutral"
386,"Reason","Positive"
387,"Emotions","Neutral"
388,"Control","Positive"
389,"Control","Positive"
390,"Reason","Positive"
391,"Control","Neutral"
392,"Reason","Positive"
393,"Reason","Positive"
394,"Reason","Negative"
395,"Reason","Negative"
396,"Reason","Neutral"
397,"Control","Neutral"
398,"Reason","Neutral"
399,"Emotions","Neutral"
400,"Reason","Positive"
401,"Reason","Positive"
402,"Reason","Neutral"
403,"Control","Neutral"
404,"Emotions","Negative"
405,"Emotions","Neutral"
406,"Emotions","Negative"
407,"Control","Neutral"
408,"Control","Neutral"
409,"Reason","Positive"
410,"Control","Neutral"
411,"Emotions","Negative"
412,"Emotions","Positive"
413,"Control","Negative"
414,"Control","Neutral"
415,"Emotions","Positive"
416,"Emotions","Negative"
417,"Emotions","Neutral"
418,"Emotions","Negative"
419,"Emotions","Neutral"
420,"Control","Negative"
421,"Control","Neutral"
422,"Reason","Negative"
423,"Reason","Positive"
424,"Reason","Neutral"
425,"Control","Neutral"
426,"Reason","Negative"
427,"Reason","Neutral"
428,"Control","Positive"
429,"Emotions","Negative"
430,"Control","Negative"
431,"Control","Negative"
432,"Emotions","Positive"
433,"Reason","Positive"
434,"Control","Neutral"
435,"Control","Negative"
436,"Emotions","Positive"
437,"Control","Neutral"
438,"Reason","Positive"
439,"Emotions","Positive"
440,"Control","Positive"
441,"Reason","Neutral"
442,"Reason","Positive"
443,"Control","Positive"
444,"Reason","Positive"
445,"Emotions","Negative"
446,"Reason","Positive"
447,"Emotions","Negative"
448,"Emotions","Positive"
449,"Emotions","Negative"
450,"Control","Positive"
451,"Reason","Negative"
452,"Control","Negative"
453,"Control","Negative"
454,"Emotions","Positive"
455,"Control","Neutral"
456,"Reason","Negative"
457,"Control","Negative"
458,"Control","Negative"
459,"Emotions","Negative"
460,"Emotions","Negative"
461,"Control","Neutral"
462,"Emotions","Positive"
463,"Control","Neutral"
464,"Reason","Positive"
465,"Reason","Neutral"
466,"Emotions","Positive"
467,"Reason","Negative"
468,"Reason","Positive"
469,"Control","Positive"
470,"Emotions","Negative"
471,"Reason","Negative"
472,"Emotions","Positive"
473,"Emotions","Positive"
474,"Emotions","Negative"
475,"Reason","Neutral"
476,"Emotions","Negative"
477,"Emotions","Positive"
478,"Control","Positive"
479,"Control","Positive"
480,"Control","Negative"
481,"Control","Negative"
482,"Emotions","Neutral"
483,"Control","Positive"
484,"Control","Positive"
485,"Reason","Negative"
486,"Control","Positive"
487,"Control","Neutral"
488,"Reason","Negative"
489,"Emotions","Positive"
490,"Emotions","Negative"
491,"Reason","Negative"
492,"Reason","Neutral"
493,"Emotions","Negative"
494,"Control","Positive"
495,"Reason","Neutral"
496,"Reason","Negative"
497,"Reason","Positive"
498,"Emotions","Negative"
499,"Emotions","Negative"
500,"Emotions","Neutral"
501,"Emotions","Neutral"
502,"Emotions","Neutral"
503,"Control","Neutral"
504,"Control","Positive"
505,"Emotions","Negative"
506,"Emotions","Neutral"
507,"Emotions","Positive"
508,"Reason","Neutral"
509,"Reason","Negative"
510,"Emotions","Neutral"
511,"Emotions","Negative"
512,"Reason","Negative"
513,"Reason","Positive"
514,"Reason","Neutral"
515,"Reason","Neutral"
516,"Reason","Negative"
517,"Emotions","Neutral"
518,"Emotions","Negative"
519,"Reason","Positive"
520,"Emotions","Neutral"
521,"Reason","Negative"
522,"Reason","Neutral"
523,"Reason","Neutral"
524,"Emotions","Positive"
525,"Emotions","Negative"
526,"Emotions","Positive"
527,"Emotions","Positive"
528,"Control","Positive"
529,"Reason","Negative"
530,"Reason","Negative"
531,"Emotions","Neutral"
532,"Emotions","Negative"
533,"Control","Positive"
534,"Reason","Negative"
535,"Reason","Neutral"
536,"Emotions","Positive"
537,"Emotions","Neutral"
538,"Control","Negative"
539,"Reason","Neutral"
540,"Control","Neutral"
541,"Reason","Negative"
542,"Emotions","Neutral"
543,"Control","Negative"
544,"Emotions","Positive"
545,"Reason","Neutral"
546,"Reason","Positive"
547,"Control","Negative"
548,"Emotions","Negative"
549,"Reason","Neutral"
550,"Reason","Neutral"
551,"Control","Negative"
552,"Control","Negative"
553,"Emotions","Positive"
554,"Control","Positive"
555,"Reason","Neutral"
556,"Emotions","Neutral"
557,"Emotions","Neutral"
558,"Emotions","Neutral"
559,"Reason","Neutral"
560,"Control","Neutral"
561,"Emotions","Neutral"
562,"Reason","Neutral"
563,"Control","Positive"
564,"Emotions","Negative"
565,"Control","Negative"
566,"Control","Neutral"
567,"Control","Negative"
568,"Reason","Neutral"
569,"Emotions","Positive"
570,"Emotions","Neutral"
571,"Emotions","Positive"
572,"Reason","Positive"
573,"Control","Positive"
574,"Reason","Neutral"
575,"Emotions","Positive"
576,"Control","Neutral"
577,"Reason","Positive"
578,"Reason","Positive"
579,"Reason","Negative"
580,"Reason","Neutral"
581,"Control","Negative"
582,"Reason","Positive"
583,"Control","Negative"
584,"Reason","Positive"
585,"Emotions","Negative"
586,"Reason","Negative"
587,"Reason","Neutral"
588,"Emotions","Neutral"
589,"Control","Negative"
590,"Reason","Negative"
591,"Reason","Neutral"
592,"Emotions","Positive"
593,"Control","Positive"
594,"Emotions","Positive"
595,"Reason","Positive"
596,"Control","Negative"
597,"Reason","Positive"
598,"Emotions","Negative"
599,"Reason","Negative"
600,"Emotions","Positive"
601,"Emotions","Positive"
602,"Control","Positive"
603,"Emotions","Neutral"
604,"Control","Negative"
605,"Control","Positive"
606,"Control","Neutral"
607,"Control","Negative"
608,"Control","Negative"
609,"Emotions","Negative"
610,"Emotions","Positive"
611,"Control","Positive"
612,"Emotions","Negative"
613,"Control","Negative"
614,"Emotions","Neutral"
615,"Control","Neutral"
616,"Reason","Negative"
617,"Reason","Neutral"
618,"Control","Negative"
619,"Emotions","Neutral"
620,"Control","Negative"
621,"Emotions","Positive"
622,"Control","Negative"
623,"Control","Positive"
624,"Emotions","Negative"
625,"Emotions","Positive"
626,"Control","Neutral"
627,"Reason","Positive"
628,"Reason","Neutral"
629,"Reason","Negative"
630,"Reason","Neutral"
631,"Reason","Neutral"
632,"Emotions","Neutral"
633,"Reason","Negative"
634,"Emotions","Positive"
635,"Reason","Neutral"
636,"Emotions","Negative"
637,"Reason","Neutral"
638,"Reason","Positive"
639,"Emotions","Neutral"
640,"Emotions","Neutral"
641,"Control","Neutral"
642,"Reason","Positive"
643,"Reason","Positive"
644,"Emotions","Negative"
645,"Emotions","Neutral"
646,"Reason","Neutral"
647,"Reason","Neutral"
648,"Emotions","Neutral"
649,"Emotions","Positive"
650,"Reason","Positive"
651,"Emotions","Neutral"
652,"Emotions","Neutral"
653,"Reason","Neutral"
654,"Control","Neutral"
655,"Emotions","Negative"
656,"Control","Negative"
657,"Emotions","Neutral"
658,"Control","Neutral"
659,"Emotions","Neutral"
660,"Control","Negative"
661,"Control","Positive"
662,"Emotions","Negative"
663,"Control","Negative"
664,"Reason","Neutral"
665,"Reason","Neutral"
666,"Reason","Positive"
667,"Control","Neutral"
668,"Emotions","Neutral"
669,"Control","Positive"
670,"Emotions","Neutral"
671,"Control","Neutral"
672,"Emotions","Neutral"
673,"Control","Negative"
674,"Control","Neutral"
675,"Reason","Negative"
676,"Control","Neutral"
677,"Reason","Neutral"
678,"Emotions","Negative"
679,"Emotions","Negative"
680,"Reason","Neutral"
681,"Control","Positive"
682,"Emotions","Neutral"
683,"Control","Negative"
684,"Control","Neutral"
685,"Control","Neutral"
686,"Emotions","Negative"
687,"Emotions","Positive"
688,"Control","Positive"
689,"Reason","Negative"
690,"Reason","Negative"
691,"Reason","Neutral"
692,"Control","Negative"
693,"Reason","Negative"
694,"Emotions","Neutral"
695,"Reason","Neutral"
696,"Reason","Neutral"
697,"Control","Positive"
698,"Emotions","Positive"
699,"Emotions","Negative"
700,"Reason","Neutral"
701,"Control","Negative"
702,"Control","Negative"
703,"Reason","Positive"
704,"Emotions","Positive"
705,"Emotions","Negative"
706,"Emotions","Neutral"
707,"Control","Positive"
708,"Reason","Positive"
709,"Control","Positive"
710,"Emotions","Negative"
711,"Control","Positive"
712,"Emotions","Neutral"
713,"Reason","Positive"
714,"Emotions","Negative"
715,"Reason","Negative"
716,"Control","Negative"
717,"Control","Negative"
718,"Control","Neutral"
719,"Emotions","Negative"
720,"Reason","Positive"
721,"Control","Neutral"
722,"Control","Negative"
723,"Reason","Negative"
724,"Emotions","Neutral"
725,"Control","Positive"
726,"Emotions","Neutral"
727,"Emotions","Positive"
728,"Emotions","Positive"
729,"Control","Negative"
730,"Control","Neutral"
731,"Reason","Neutral"
732,"Reason","Negative"
733,"Emotions","Negative"
734,"Control","Positive"
735,"Emotions","Negative"
736,"Reason","Neutral"
737,"Emotions","Negative"
738,"Emotions","Negative"
739,"Control","Negative"
740,"Emotions","Negative"
741,"Emotions","Negative"
742,"Control","Positive"
743,"Control","Negative"
744,"Reason","Negative"
745,"Control","Neutral"
746,"Emotions","Negative"
747,"Reason","Neutral"
748,"Reason","Neutral"
749,"Reason","Neutral"
750,"Reason","Neutral"
751,"Emotions","Positive"
752,"Emotions","Positive"
753,"Emotions","Neutral"
754,"Emotions","Positive"
755,"Reason","Positive"
756,"Emotions","Negative"
757,"Reason","Positive"
758,"Control","Neutral"
759,"Emotions","Neutral"
760,"Control","Neutral"
761,"Control","Neutral"
762,"Emotions","Negative"
763,"Reason","Positive"
764,"Control","Neutral"
765,"Emotions","Negative"
766,"Control","Neutral"
767,"Control","Positive"
768,"Emotions","Negative"
769,"Control","Positive"
770,"Reason","Negative"
771,"Reason","Neutral"
772,"Control","Neutral"
773,"Control","Positive"
774,"Emotions","Positive"
775,"Reason","Negative"
776,"Control","Positive"
777,"Reason","Positive"
778,"Control","Neutral"
779,"Emotions","Neutral"
780,"Emotions","Neutral"
781,"Reason","Neutral"
782,"Reason","Neutral"
783,"Control","Neutral"
784,"Control","Neutral"
785,"Control","Negative"
786,"Reason","Neutral"
787,"Emotions","Neutral"
788,"Emotions","Neutral"
789,"Reason","Neutral"
790,"Emotions","Neutral"
791,"Reason","Positive"
792,"Control","Positive"
793,"Reason","Neutral"
794,"Emotions","Neutral"
795,"Reason","Neutral"
796,"Reason","Negative"
797,"Reason","Neutral"
798,"Reason","Negative"
799,"Emotions","Negative"
800,"Control","Neutral"
801,"Emotions","Positive"
802,"Emotions","Neutral"
803,"Control","Neutral"
804,"Emotions","Positive"
805,"Control","Positive"
806,"Control","Neutral"
807,"Reason","Neutral"
808,"Emotions","Negative"
809,"Control","Positive"
810,"Emotions","Negative"
811,"Emotions","Negative"
812,"Control","Negative"
813,"Reason","Negative"
814,"Control","Positive"
815,"Reason","Positive"
816,"Control","Positive"
817,"Control","Neutral"
818,"Reason","Negative"
819,"Reason","Neutral"
820,"Emotions","Positive"
821,"Control","Positive"
822,"Emotions","Neutral"
823,"Emotions","Negative"
824,"Reason","Positive"
825,"Reason","Negative"
826,"Emotions","Negative"
827,"Reason","Positive"
828,"Control","Neutral"
829,"Reason","Negative"
830,"Reason","Neutral"
831,"Control","Negative"
832,"Reason","Negative"
833,"Emotions","Positive"
834,"Emotions","Neutral"
835,"Emotions","Negative"
836,"Reason","Neutral"
837,"Reason","Negative"
838,"Reason","Neutral"
839,"Emotions","Neutral"
840,"Reason","Positive"
841,"Control","Negative"
842,"Reason","Negative"
843,"Emotions","Negative"
844,"Control","Negative"
845,"Control","Positive"
846,"Emotions","Positive"
847,"Control","Negative"
848,"Control","Neutral"
849,"Control","Positive"
850,"Control","Neutral"
851,"Control","Neutral"
852,"Reason","Neutral"
853,"Emotions","Negative"
854,"Emotions","Positive"
855,"Reason","Negative"
856,"Reason","Neutral"
857,"Emotions","Negative"
858,"Emotions","Neutral"
859,"Reason","Negative"
860,"Reason","Negative"
861,"Control","Positive"
862,"Reason","Positive"
863,"Reason","Neutral"
864,"Control","Neutral"
865,"Control","Neutral"
866,"Emotions","Negative"
867,"Emotions","Neutral"
868,"Reason","Positive"
869,"Control","Neutral"
870,"Control","Neutral"
871,"Emotions","Negative"
872,"Emotions","Positive"
873,"Reason","Neutral"
874,"Control","Positive"
875,"Emotions","Neutral"
876,"Reason","Positive"
877,"Reason","Neutral"
878,"Reason","Neutral"
879,"Emotions","Negative"
880,"Emotions","Negative"
881,"Emotions","Positive"
882,"Emotions","Positive"
883,"Emotions","Positive"
884,"Control","Positive"
885,"Control","Negative"
886,"Control","Positive"
887,"Control","Neutral"
888,"Reason","Neutral"
889,"Reason","Neutral"
890,"Control","Negative"
891,"Emotions","Positive"
892,"Control","Neutral"
893,"Control","Neutral"
894,"Reason","Negative"
895,"Emotions","Negative"
896,"Reason","Negative"
897,"Emotions","Neutral"
898,"Reason","Negative"
899,"Control","Neutral"
900,"Emotions","Positive"
901,"Reason","Neutral"
902,"Control","Positive"
903,"Reason","Neutral"
904,"Reason","Positive"
905,"Reason","Neutral"
906,"Control","Neutral"
907,"Emotions","Neutral"
908,"Reason","Neutral"
909,"Control","Negative"
910,"Reason","Neutral"
911,"Emotions","Neutral"
912,"Reason","Negative"
913,"Control","Negative"
914,"Reason","Negative"
915,"Reason","Negative"
916,"Emotions","Negative"
917,"Emotions","Negative"
918,"Emotions","Negative"
919,"Reason","Negative"
920,"Control","Negative"
921,"Reason","Negative"
922,"Reason","Negative"
923,"Reason","Positive"
924,"Reason","Neutral"
925,"Emotions","Neutral"
926,"Emotions","Negative"
927,"Emotions","Negative"
928,"Emotions","Positive"
929,"Control","Negative"
930,"Reason","Positive"
931,"Reason","Neutral"
932,"Reason","Neutral"
933,"Control","Negative"
934,"Control","Positive"
935,"Emotions","Positive"
936,"Reason","Neutral"
937,"Reason","Neutral"
938,"Control","Positive"
939,"Reason","Positive"
940,"Control","Neutral"
941,"Emotions","Positive"
942,"Control","Neutral"
943,"Reason","Positive"
944,"Control","Negative"
945,"Control","Neutral"
946,"Emotions","Positive"
947,"Reason","Neutral"
948,"Reason","Positive"
949,"Emotions","Negative"
950,"Control","Negative"
951,"Control","Negative"
952,"Reason","Neutral"
953,"Control","Negative"
954,"Emotions","Neutral"
955,"Reason","Negative"
956,"Control","Neutral"
957,"Emotions","Negative"
958,"Emotions","Positive"
959,"Reason","Positive"
960,"Reason","Neutral"
961,"Control","Negative"
962,"Control","Negative"
963,"Control","Positive"
964,"Emotions","Negative"
965,"Emotions","Negative"
966,"Control","Neutral"
967,"Reason","Positive"
968,"Emotions","Negative"
969,"Emotions","Negative"
970,"Control","Neutral"
971,"Reason","Neutral"
972,"Emotions","Neutral"
973,"Reason","Neutral"
974,"Emotions","Negative"
975,"Reason","Negative"
976,"Reason","Negative"
977,"Emotions","Neutral"
978,"Reason","Negative"
979,"Emotions","Positive"
980,"Emotions","Positive"
981,"Reason","Negative"
982,"Emotions","Neutral"
983,"Reason","Positive"
984,"Emotions","Negative"
985,"Reason","Positive"
986,"Emotions","Positive"
987,"Emotions","Positive"
988,"Control","Positive"
989,"Emotions","Negative"
990,"Emotions","Positive"
991,"Reason","Negative"
992,"Reason","Positive"
993,"Reason","Positive"
994,"Reason","Positive"
995,"Control","Negative"
996,"Control","Positive"
997,"Reason","Positive"
998,"Reason","Neutral"
999,"Reason","Positive"
1000,"Reason","Neutral"
1001,"Emotions","Negative"
1002,"Reason","Positive"
1003,"Emotions","Positive"
1004,"Reason","Neutral"
1005,"Control","Neutral"
1006,"Control","Positive"
1007,"Reason","Negative"
1008,"Control","Neutral"
1009,"Control","Positive"
1010,"Control","Neutral"
1011,"Control","Negative"
1012,"Emotions","Neutral"
1013,"Emotions","Positive"
1014,"Emotions","Neutral"
1015,"Emotions","Negative"
1016,"Reason","Positive"
1017,"Control","Positive"
1018,"Control","Positive"
1019,"Reason","Positive"
1020,"Reason","Negative"
1021,"Emotions","Positive"
1022,"Emotions","Negative"
1023,"Control","Negative"
1024,"Reason","Neutral"
1025,"Control","Neutral"
1026,"Reason","Positive"
1027,"Emotions","Positive"
1028,"Control","Negative"
1029,"Control","Neutral"
1030,"Reason","Positive"
1031,"Control","Positive"
1032,"Emotions","Negative"
1033,"Control","Neutral"
1034,"Reason","Positive"
1035,"Control","Positive"
1036,"Emotions","Positive"
1037,"Reason","Positive"
1038,"Reason","Positive"
1039,"Emotions","Positive"
1040,"Reason","Neutral"
1041,"Reason","Negative"
1042,"Control","Negative"
1043,"Reason","Negative"
1044,"Control","Positive"
1045,"Emotions","Negative"
1046,"Emotions","Neutral"
1047,"Emotions","Positive"
1048,"Emotions","Neutral"
1049,"Reason","Positive"
1050,"Reason","Positive"
1051,"Control","Negative"
1052,"Control","Neutral"
1053,"Control","Negative"
1054,"Reason","Positive"
1055,"Control","Neutral"
1056,"Reason","Neutral"
1057,"Emotions","Positive"
1058,"Reason","Negative"
1059,"Emotions","Positive"
1060,"Control","Neutral"
1061,"Reason","Neutral"
1062,"Control","Neutral"
1063,"Control","Positive"
1064,"Emotions","Neutral"
1065,"Control","Neutral"
1066,"Reason","Negative"
1067,"Control","Negative"
1068,"Emotions","Neutral"
1069,"Emotions","Negative"
1070,"Control","Positive"
1071,"Emotions","Negative"
1072,"Control","Negative"
1073,"Emotions","Negative"
1074,"Control","Negative"
1075,"Control","Positive"
1076,"Reason","Negative"
1077,"Reason","Neutral"
1078,"Control","Negative"
1079,"Reason","Negative"
1080,"Reason","Neutral"
1081,"Emotions","Positive"
1082,"Reason","Neutral"
1083,"Emotions","Neutral"
1084,"Reason","Neutral"
1085,"Reason","Neutral"
1086,"Control","Negative"
1087,"Reason","Negative"
1088,"Control","Negative"
1089,"Control","Negative"
1090,"Control","Positive"
1091,"Control","Negative"
1092,"Reason","Negative"
1093,"Control","Positive"
1094,"Reason","Neutral"
1095,"Reason","Negative"
1096,"Emotions","Negative"
1097,"Emotions","Neutral"
1098,"Emotions","Negative"
1099,"Control","Neutral"
1100,"Reason","Neutral"
1101,"Reason","Neutral"
1102,"Control","Negative"
1103,"Emotions","Neutral"
1104,"Emotions","Negative"
1105,"Reason","Positive"
1106,"Reason","Neutral"
1107,"Reason","Negative"
1108,"Emotions","Neutral"
1109,"Reason","Negative"
1110,"Emotions","Negative"
1111,"Emotions","Positive"
1112,"Emotions","Neutral"
1113,"Control","Negative"
1114,"Control","Positive"
1115,"Reason","Negative"
1116,"Emotions","Negative"
