Participant_ID,Age_x,Gender_x,Location_x,Education_x,COVID_Awareness_Level_x,Received_Info_Social_Media_x,Vaccine_Hesitancy_x,Reasons_For_Hesitancy_x,Ad_Type_x,Feel_About_Info_Social_Media,Age_y,Gender_y,Location_y,Education_y,COVID_Awareness_Level_y,Received_Info_Social_Media_y,Vaccine_Hesitancy_y,Reasons_For_Hesitancy_y,Ad_Type_y,Received_Vaccine,Influenced_Decision,Effectiveness_Reason_Ad,Effectiveness_Emotions_Ad
20,61,Female,Suburban,College,High,No,Yes,,Emotions,Positive,61,Female,Suburban,College,High,No,Yes,,Emotions,Yes,Other,,Somewhat effective
21,47,Male,Urban,High School,Low,Yes,Not Sure,,Reason,Positive,47,Male,Urban,High School,Low,Yes,Not Sure,,Reason,No,Not Applicable,Very effective,
23,19,Male,Suburban,High School,Low,Yes,No,,Emotions,Neutral,19,Male,Suburban,High School,Low,Yes,No,,Reason,No,Not Applicable,Very effective,
24,38,Male,Rural,College,Low,Yes,Yes,,Emotions,Positive,38,Male,Rural,College,Low,Yes,Yes,,Emotions,No,Not Applicable,,Not at all effective
25,50,Male,Suburban,High School,Low,Yes,Not Sure,,Control,Positive,50,Male,Suburban,High School,Low,Yes,Not Sure,,Emotions,Yes,Reason Ad,,Very effective
26,29,Male,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Emotions,Positive,29,Male,Suburban,College,Low,Yes,Not Sure,Concerns about side effects,Control,No,Not Applicable,,
27,39,Male,Rural,High School,Medium,No,Not Sure,,Control,Positive,39,Male,Rural,High School,Medium,No,Not Sure,,Emotions,No,Not Applicable,,Somewhat effective
28,61,Male,Rural,High School,High,Yes,Yes,,Emotions,Neutral,61,Male,Rural,High School,High,Yes,Yes,,Control,Yes,Reason Ad,,
29,42,Female,Suburban,College,Medium,Yes,Not Sure,Concerns about side effects,Reason,Neutral,42,Female,Suburban,College,Medium,Yes,Not Sure,Concerns about side effects,Emotions,Yes,Reason Ad,,Not at all effective
30,44,Female,Urban,College,High,Yes,No,,Control,Negative,44,Female,Urban,College,High,Yes,No,,Reason,Yes,Other,Not at all effective,
31,59,Female,Rural,Graduate School,Low,No,No,,Reason,Neutral,59,Female,Rural,Graduate School,Low,No,No,,Control,No,Not Applicable,,
32,45,Female,Suburban,College,High,Yes,No,,Emotions,Neutral,45,Female,Suburban,College,High,Yes,No,,Reason,Yes,Reason Ad,Somewhat effective,
33,33,Male,Suburban,High School,Low,Yes,Yes,,Emotions,Neutral,33,Male,Suburban,High School,Low,Yes,Yes,,Emotions,No,Not Applicable,,Not at all effective
34,32,Female,Urban,High School,Medium,No,Not Sure,,Emotions,Negative,32,Female,Urban,High School,Medium,No,Not Sure,,Emotions,No,Not Applicable,,Very effective
35,64,Female,Urban,College,Medium,No,Yes,,Emotions,Positive,64,Female,Urban,College,Medium,No,Yes,,Emotions,Yes,Emotions Ad,,Somewhat effective
36,61,Female,Urban,Graduate School,High,No,Not Sure,,Control,Negative,61,Female,Urban,Graduate School,High,No,Not Sure,,Emotions,No,Not Applicable,,Very effective
37,20,Male,Rural,College,Low,No,Yes,,Control,Positive,20,Male,Rural,College,Low,No,Yes,,Control,No,Not Applicable,,
38,54,Female,Suburban,High School,Low,No,No,,Emotions,Neutral,54,Female,Suburban,High School,Low,No,No,,Control,Yes,Other,,
40,38,Female,Suburban,Graduate School,Low,No,Yes,,Control,Negative,38,Female,Suburban,Graduate School,Low,No,Yes,,Emotions,No,Not Applicable,,Somewhat effective
41,26,Male,Urban,College,Low,No,Yes,,Reason,Positive,26,Male,Urban,College,Low,No,Yes,,Reason,No,Not Applicable,Very effective,
42,56,Male,Suburban,High School,Low,No,No,,Emotions,Positive,56,Male,Suburban,High School,Low,No,No,,Control,No,Not Applicable,,
43,35,Female,Rural,High School,Medium,Yes,Yes,,Control,Neutral,35,Female,Rural,High School,Medium,Yes,Yes,,Reason,Yes,Other,Very effective,
44,21,Male,Urban,High School,Medium,No,Yes,,Control,Positive,21,Male,Urban,High School,Medium,No,Yes,,Emotions,No,Not Applicable,,Not at all effective
45,42,Male,Urban,College,Medium,Yes,No,,Control,Positive,42,Male,Urban,College,Medium,Yes,No,,Control,Yes,Other,,
46,31,Female,Urban,College,Low,Yes,Not Sure,,Reason,Neutral,31,Female,Urban,College,Low,Yes,Not Sure,,Control,Yes,Other,,
47,26,Female,Urban,Graduate School,Medium,No,Yes,,Emotions,Negative,26,Female,Urban,Graduate School,Medium,No,Yes,,Control,No,Not Applicable,,
48,43,Female,Rural,High School,Low,No,No,,Emotions,Neutral,43,Female,Rural,High School,Low,No,No,,Reason,Yes,Other,Very effective,
49,19,Male,Suburban,High School,Low,No,Yes,,Control,Positive,19,Male,Suburban,High School,Low,No,Yes,,Emotions,No,Not Applicable,,Very effective
50,37,Male,Rural,Graduate School,High,No,No,,Control,Neutral,37,Male,Rural,Graduate School,High,No,No,,Emotions,Yes,Emotions Ad,,Not at all effective
51,45,Male,Suburban,High School,Low,Yes,Not Sure,,Emotions,Neutral,45,Male,Suburban,High School,Low,Yes,Not Sure,,Control,Yes,Other,,
53,24,Male,Urban,Graduate School,Medium,No,Yes,,Control,Negative,24,Male,Urban,Graduate School,Medium,No,Yes,,Control,No,Not Applicable,,
54,61,Male,Urban,High School,Low,Yes,No,Concerns about side effects,Reason,Neutral,61,Male,Urban,High School,Low,Yes,No,Concerns about side effects,Emotions,Yes,Other,,Very effective
56,64,Male,Rural,College,Low,Yes,Not Sure,Concerns about side effects,Emotions,Neutral,64,Male,Rural,College,Low,Yes,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Somewhat effective,
57,52,Male,Suburban,College,High,Yes,No,Concerns about side effects,Emotions,Positive,52,Male,Suburban,College,High,Yes,No,Concerns about side effects,Control,No,Not Applicable,,
58,31,Male,Rural,College,Low,No,Yes,,Reason,Positive,31,Male,Rural,College,Low,No,Yes,,Reason,No,Not Applicable,Very effective,
59,34,Male,Rural,High School,Low,No,Not Sure,,Reason,Neutral,34,Male,Rural,High School,Low,No,Not Sure,,Reason,No,Not Applicable,Very effective,
60,53,Female,Suburban,Graduate School,High,Yes,Not Sure,,Emotions,Neutral,53,Female,Suburban,Graduate School,High,Yes,Not Sure,,Emotions,No,Not Applicable,,Not at all effective
61,57,Female,Suburban,Graduate School,Medium,No,Not Sure,,Control,Neutral,57,Female,Suburban,Graduate School,Medium,No,Not Sure,,Emotions,Yes,Reason Ad,,Somewhat effective
63,19,Male,Rural,College,High,No,Not Sure,,Control,Neutral,19,Male,Rural,College,High,No,Not Sure,,Reason,No,Not Applicable,Very effective,
64,23,Male,Suburban,Graduate School,Low,No,No,,Reason,Positive,23,Male,Suburban,Graduate School,Low,No,No,,Reason,No,Not Applicable,Somewhat effective,
66,21,Male,Urban,High School,High,No,Not Sure,,Control,Positive,21,Male,Urban,High School,High,No,Not Sure,,Emotions,No,Not Applicable,,Very effective
67,46,Female,Urban,College,Medium,No,No,,Emotions,Neutral,46,Female,Urban,College,Medium,No,No,,Control,No,Not Applicable,,
68,35,Male,Rural,High School,High,No,No,,Reason,Negative,35,Male,Rural,High School,High,No,No,,Reason,Yes,Other,Very effective,
69,43,Male,Urban,Graduate School,Medium,No,Yes,,Emotions,Negative,43,Male,Urban,Graduate School,Medium,No,Yes,,Control,Yes,Other,,
72,27,Female,Urban,Graduate School,Medium,Yes,Yes,,Control,Negative,27,Female,Urban,Graduate School,Medium,Yes,Yes,,Reason,Yes,Other,Very effective,
73,53,Female,Suburban,High School,High,No,Yes,Concerns about side effects,Emotions,Neutral,53,Female,Suburban,High School,High,No,Yes,Concerns about side effects,Emotions,Yes,Emotions Ad,,Not at all effective
74,31,Female,Rural,Graduate School,Low,Yes,No,,Emotions,Neutral,31,Female,Rural,Graduate School,Low,Yes,No,,Control,No,Not Applicable,,
75,48,Male,Urban,College,High,No,Yes,Concerns about side effects,Control,Neutral,48,Male,Urban,College,High,No,Yes,Concerns about side effects,Emotions,No,Not Applicable,,Not at all effective
76,32,Male,Rural,Graduate School,Low,No,Yes,,Control,Negative,32,Male,Rural,Graduate School,Low,No,Yes,,Reason,No,Not Applicable,Somewhat effective,
77,25,Male,Suburban,College,Medium,Yes,No,,Control,Positive,25,Male,Suburban,College,Medium,Yes,No,,Emotions,No,Not Applicable,,Very effective
78,31,Female,Suburban,College,Medium,No,Yes,,Reason,Negative,31,Female,Suburban,College,Medium,No,Yes,,Control,No,Not Applicable,,
79,40,Female,Urban,High School,Low,No,Not Sure,Concerns about side effects,Emotions,Positive,40,Female,Urban,High School,Low,No,Not Sure,Concerns about side effects,Emotions,No,Not Applicable,,Not at all effective
80,57,Female,Rural,College,High,No,No,,Control,Negative,57,Female,Rural,College,High,No,No,,Control,No,Not Applicable,,
81,38,Female,Rural,Graduate School,Low,No,No,Concerns about side effects,Reason,Neutral,38,Female,Rural,Graduate School,Low,No,No,Concerns about side effects,Emotions,No,Not Applicable,,Not at all effective
82,33,Female,Rural,Graduate School,Low,No,No,,Reason,Neutral,33,Female,Rural,Graduate School,Low,No,No,,Emotions,No,Not Applicable,,Somewhat effective
83,62,Female,Rural,College,Medium,Yes,Not Sure,,Control,Neutral,62,Female,Rural,College,Medium,Yes,Not Sure,,Control,No,Not Applicable,,
84,35,Male,Urban,High School,Low,No,Yes,,Control,Negative,35,Male,Urban,High School,Low,No,Yes,,Control,Yes,Reason Ad,,
85,64,Male,Suburban,College,High,Yes,No,Concerns about side effects,Control,Negative,64,Male,Suburban,College,High,Yes,No,Concerns about side effects,Control,Yes,Reason Ad,,
86,41,Male,Urban,Graduate School,Low,Yes,No,,Reason,Positive,41,Male,Urban,Graduate School,Low,Yes,No,,Reason,No,Not Applicable,Very effective,
87,43,Male,Rural,Graduate School,Medium,Yes,No,,Reason,Negative,43,Male,Rural,Graduate School,Medium,Yes,No,,Emotions,No,Not Applicable,,Not at all effective
89,62,Female,Suburban,College,Medium,Yes,Not Sure,,Reason,Negative,62,Female,Suburban,College,Medium,Yes,Not Sure,,Control,Yes,Reason Ad,,
90,58,Female,Rural,College,Low,Yes,Not Sure,Concerns about side effects,Control,Neutral,58,Female,Rural,College,Low,Yes,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Somewhat effective,
91,46,Female,Urban,Graduate School,Low,Yes,Yes,,Emotions,Negative,46,Female,Urban,Graduate School,Low,Yes,Yes,,Reason,No,Not Applicable,Somewhat effective,
92,32,Female,Urban,Graduate School,Medium,Yes,Yes,,Emotions,Neutral,32,Female,Urban,Graduate School,Medium,Yes,Yes,,Control,No,Not Applicable,,
93,62,Female,Suburban,Graduate School,Medium,No,Not Sure,,Emotions,Negative,62,Female,Suburban,Graduate School,Medium,No,Not Sure,,Control,No,Not Applicable,,
94,18,Female,Urban,High School,High,Yes,Yes,,Emotions,Positive,18,Female,Urban,High School,High,Yes,Yes,,Control,No,Not Applicable,,
95,42,Male,Urban,Graduate School,Medium,No,Not Sure,Concerns about side effects,Control,Negative,42,Male,Urban,Graduate School,Medium,No,Not Sure,Concerns about side effects,Reason,Yes,Emotions Ad,Very effective,
96,24,Female,Urban,Graduate School,Medium,Yes,Yes,,Emotions,Neutral,24,Female,Urban,Graduate School,Medium,Yes,Yes,,Reason,No,Not Applicable,Somewhat effective,
97,26,Female,Urban,High School,Low,Yes,Yes,Concerns about side effects,Control,Negative,26,Female,Urban,High School,Low,Yes,Yes,Concerns about side effects,Emotions,Yes,Reason Ad,,Very effective
98,41,Female,Rural,High School,Low,No,Not Sure,,Reason,Positive,41,Female,Rural,High School,Low,No,Not Sure,,Reason,No,Not Applicable,Somewhat effective,
99,18,Female,Urban,High School,Medium,Yes,No,,Control,Positive,18,Female,Urban,High School,Medium,Yes,No,,Control,No,Not Applicable,,
100,61,Male,Suburban,High School,Medium,No,No,,Emotions,Positive,61,Male,Suburban,High School,Medium,No,No,,Emotions,No,Not Applicable,,Somewhat effective
101,25,Male,Suburban,High School,Low,Yes,Yes,,Reason,Positive,25,Male,Suburban,High School,Low,Yes,Yes,,Emotions,Yes,Emotions Ad,,Very effective
102,41,Female,Urban,High School,High,No,Yes,Concerns about side effects,Reason,Negative,41,Female,Urban,High School,High,No,Yes,Concerns about side effects,Emotions,Yes,Other,,Not at all effective
103,28,Male,Suburban,College,High,No,Yes,Concerns about side effects,Reason,Positive,28,Male,Suburban,College,High,No,Yes,Concerns about side effects,Emotions,No,Not Applicable,,Somewhat effective
104,34,Male,Urban,College,High,Yes,Yes,Concerns about side effects,Emotions,Negative,34,Male,Urban,College,High,Yes,Yes,Concerns about side effects,Control,Yes,Emotions Ad,,
105,25,Female,Suburban,College,High,Yes,Yes,Concerns about side effects,Control,Negative,25,Female,Suburban,College,High,Yes,Yes,Concerns about side effects,Emotions,Yes,Emotions Ad,,Somewhat effective
106,52,Female,Suburban,College,Low,Yes,Yes,,Control,Negative,52,Female,Suburban,College,Low,Yes,Yes,,Control,Yes,Emotions Ad,,
107,52,Female,Urban,Graduate School,Medium,Yes,Not Sure,,Emotions,Positive,52,Female,Urban,Graduate School,Medium,Yes,Not Sure,,Reason,No,Not Applicable,Not at all effective,
109,22,Female,Rural,Graduate School,Low,No,No,,Reason,Negative,22,Female,Rural,Graduate School,Low,No,No,,Control,Yes,Emotions Ad,,
110,59,Male,Urban,High School,Medium,No,Not Sure,,Control,Negative,59,Male,Urban,High School,Medium,No,Not Sure,,Emotions,Yes,Emotions Ad,,Very effective
111,56,Female,Urban,High School,High,No,Not Sure,,Emotions,Negative,56,Female,Urban,High School,High,No,Not Sure,,Reason,Yes,Other,Somewhat effective,
112,58,Female,Rural,Graduate School,Medium,No,No,,Emotions,Neutral,58,Female,Rural,Graduate School,Medium,No,No,,Reason,No,Not Applicable,Not at all effective,
113,45,Female,Urban,College,High,No,No,,Control,Neutral,45,Female,Urban,College,High,No,No,,Reason,Yes,Emotions Ad,Not at all effective,
114,24,Male,Urban,Graduate School,Medium,No,Yes,,Reason,Positive,24,Male,Urban,Graduate School,Medium,No,Yes,,Emotions,Yes,Other,,Somewhat effective
115,26,Female,Rural,Graduate School,High,Yes,No,,Reason,Neutral,26,Female,Rural,Graduate School,High,Yes,No,,Control,No,Not Applicable,,
116,25,Female,Urban,High School,High,Yes,Yes,,Reason,Negative,25,Female,Urban,High School,High,Yes,Yes,,Control,No,Not Applicable,,
117,29,Female,Urban,High School,Medium,Yes,Yes,,Control,Negative,29,Female,Urban,High School,Medium,Yes,Yes,,Emotions,No,Not Applicable,,Very effective
118,51,Male,Rural,High School,Medium,Yes,No,,Emotions,Positive,51,Male,Rural,High School,Medium,Yes,No,,Emotions,Yes,Other,,Not at all effective
119,50,Female,Rural,College,Medium,Yes,Yes,Concerns about side effects,Emotions,Positive,50,Female,Rural,College,Medium,Yes,Yes,Concerns about side effects,Reason,No,Not Applicable,Not at all effective,
120,40,Female,Suburban,Graduate School,Low,Yes,Yes,,Emotions,Neutral,40,Female,Suburban,Graduate School,Low,Yes,Yes,,Control,No,Not Applicable,,
121,41,Female,Urban,Graduate School,Low,Yes,Not Sure,,Emotions,Negative,41,Female,Urban,Graduate School,Low,Yes,Not Sure,,Emotions,Yes,Other,,Not at all effective
122,54,Male,Suburban,College,Medium,Yes,No,,Control,Positive,54,Male,Suburban,College,Medium,Yes,No,,Emotions,No,Not Applicable,,Somewhat effective
123,52,Female,Suburban,Graduate School,Low,No,Not Sure,,Reason,Positive,52,Female,Suburban,Graduate School,Low,No,Not Sure,,Control,Yes,Emotions Ad,,
125,57,Female,Urban,High School,Medium,Yes,Yes,,Reason,Positive,57,Female,Urban,High School,Medium,Yes,Yes,,Reason,No,Not Applicable,Somewhat effective,
126,39,Male,Urban,College,Low,Yes,Not Sure,Concerns about side effects,Reason,Neutral,39,Male,Urban,College,Low,Yes,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Very effective,
127,44,Female,Rural,High School,Medium,No,Not Sure,,Emotions,Negative,44,Female,Rural,High School,Medium,No,Not Sure,,Reason,Yes,Other,Somewhat effective,
128,52,Female,Suburban,College,High,Yes,Not Sure,,Emotions,Neutral,52,Female,Suburban,College,High,Yes,Not Sure,,Control,Yes,Other,,
129,18,Female,Rural,High School,High,No,Yes,Concerns about side effects,Control,Positive,18,Female,Rural,High School,High,No,Yes,Concerns about side effects,Emotions,Yes,Emotions Ad,,Not at all effective
130,52,Male,Urban,Graduate School,Low,No,No,,Reason,Neutral,52,Male,Urban,Graduate School,Low,No,No,,Emotions,Yes,Reason Ad,,Very effective
131,54,Male,Rural,College,High,Yes,Yes,,Emotions,Neutral,54,Male,Rural,College,High,Yes,Yes,,Emotions,No,Not Applicable,,Somewhat effective
132,64,Female,Urban,College,Medium,No,Not Sure,Concerns about side effects,Emotions,Negative,64,Female,Urban,College,Medium,No,Not Sure,Concerns about side effects,Emotions,No,Not Applicable,,Somewhat effective
133,31,Male,Suburban,High School,Low,Yes,No,,Emotions,Neutral,31,Male,Suburban,High School,Low,Yes,No,,Control,Yes,Emotions Ad,,
134,20,Male,Urban,College,Medium,Yes,Not Sure,,Reason,Positive,20,Male,Urban,College,Medium,Yes,Not Sure,,Reason,No,Not Applicable,Not at all effective,
135,18,Male,Suburban,Graduate School,Medium,Yes,Yes,,Emotions,Positive,18,Male,Suburban,Graduate School,Medium,Yes,Yes,,Reason,Yes,Other,Not at all effective,
136,22,Female,Suburban,Graduate School,Medium,No,No,,Reason,Negative,22,Female,Suburban,Graduate School,Medium,No,No,,Reason,No,Not Applicable,Somewhat effective,
138,31,Male,Urban,High School,Medium,Yes,Yes,Concerns about side effects,Control,Negative,31,Male,Urban,High School,Medium,Yes,Yes,Concerns about side effects,Reason,Yes,Emotions Ad,Very effective,
139,56,Male,Suburban,College,High,Yes,Not Sure,,Control,Positive,56,Male,Suburban,College,High,Yes,Not Sure,,Emotions,Yes,Emotions Ad,,Very effective
141,26,Female,Urban,Graduate School,High,No,Not Sure,,Reason,Positive,26,Female,Urban,Graduate School,High,No,Not Sure,,Emotions,Yes,Reason Ad,,Very effective
142,32,Female,Suburban,College,High,No,Yes,,Reason,Positive,32,Female,Suburban,College,High,No,Yes,,Control,Yes,Reason Ad,,
143,32,Male,Suburban,Graduate School,High,No,Not Sure,Concerns about side effects,Emotions,Negative,32,Male,Suburban,Graduate School,High,No,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Not at all effective,
144,43,Male,Rural,College,Medium,Yes,No,,Emotions,Negative,43,Male,Rural,College,Medium,Yes,No,,Emotions,Yes,Other,,Very effective
145,59,Male,Urban,College,Medium,Yes,Not Sure,,Emotions,Neutral,59,Male,Urban,College,Medium,Yes,Not Sure,,Emotions,Yes,Reason Ad,,Very effective
146,30,Male,Suburban,High School,High,No,Not Sure,Concerns about side effects,Control,Neutral,30,Male,Suburban,High School,High,No,Not Sure,Concerns about side effects,Emotions,No,Not Applicable,,Not at all effective
147,49,Female,Rural,College,Medium,Yes,No,,Reason,Neutral,49,Female,Rural,College,Medium,Yes,No,,Reason,No,Not Applicable,Very effective,
148,56,Male,Suburban,Graduate School,High,No,No,,Emotions,Neutral,56,Male,Suburban,Graduate School,High,No,No,,Emotions,Yes,Reason Ad,,Not at all effective
149,49,Female,Urban,College,Medium,Yes,Not Sure,,Emotions,Positive,49,Female,Urban,College,Medium,Yes,Not Sure,,Reason,No,Not Applicable,Not at all effective,
150,21,Male,Rural,Graduate School,High,Yes,No,,Control,Neutral,21,Male,Rural,Graduate School,High,Yes,No,,Reason,No,Not Applicable,Somewhat effective,
151,47,Male,Suburban,High School,High,No,Yes,Concerns about side effects,Control,Positive,47,Male,Suburban,High School,High,No,Yes,Concerns about side effects,Control,Yes,Reason Ad,,
153,40,Male,Urban,College,Medium,Yes,Yes,,Reason,Neutral,40,Male,Urban,College,Medium,Yes,Yes,,Control,Yes,Other,,
154,56,Male,Rural,Graduate School,Medium,No,No,,Emotions,Neutral,56,Male,Rural,Graduate School,Medium,No,No,,Reason,Yes,Emotions Ad,Somewhat effective,
155,62,Female,Urban,Graduate School,Low,Yes,Yes,,Emotions,Positive,62,Female,Urban,Graduate School,Low,Yes,Yes,,Reason,No,Not Applicable,Somewhat effective,
156,32,Male,Suburban,College,High,Yes,Yes,,Emotions,Negative,32,Male,Suburban,College,High,Yes,Yes,,Reason,No,Not Applicable,Somewhat effective,
158,46,Male,Suburban,College,Low,Yes,No,,Emotions,Negative,46,Male,Suburban,College,Low,Yes,No,,Emotions,No,Not Applicable,,Very effective
159,53,Female,Suburban,High School,Low,No,No,,Control,Positive,53,Female,Suburban,High School,Low,No,No,,Emotions,Yes,Emotions Ad,,Not at all effective
160,30,Female,Urban,Graduate School,High,Yes,No,,Reason,Negative,30,Female,Urban,Graduate School,High,Yes,No,,Emotions,Yes,Emotions Ad,,Not at all effective
161,49,Female,Suburban,High School,Medium,Yes,Yes,Concerns about side effects,Control,Positive,49,Female,Suburban,High School,Medium,Yes,Yes,Concerns about side effects,Control,No,Not Applicable,,
162,24,Female,Rural,Graduate School,Low,Yes,Not Sure,,Reason,Negative,24,Female,Rural,Graduate School,Low,Yes,Not Sure,,Reason,Yes,Reason Ad,Not at all effective,
163,39,Male,Suburban,Graduate School,Low,No,No,,Reason,Negative,39,Male,Suburban,Graduate School,Low,No,No,,Emotions,No,Not Applicable,,Somewhat effective
164,45,Male,Urban,High School,Low,Yes,Not Sure,,Reason,Negative,45,Male,Urban,High School,Low,Yes,Not Sure,,Emotions,No,Not Applicable,,Not at all effective
165,19,Male,Rural,Graduate School,Low,No,Not Sure,,Control,Positive,19,Male,Rural,Graduate School,Low,No,Not Sure,,Control,Yes,Reason Ad,,
166,59,Female,Rural,Graduate School,Low,No,Yes,Concerns about side effects,Emotions,Positive,59,Female,Rural,Graduate School,Low,No,Yes,Concerns about side effects,Control,Yes,Other,,
167,62,Male,Suburban,High School,Low,No,No,,Reason,Positive,62,Male,Suburban,High School,Low,No,No,,Reason,No,Not Applicable,Not at all effective,
168,23,Male,Suburban,Graduate School,High,No,Not Sure,,Reason,Neutral,23,Male,Suburban,Graduate School,High,No,Not Sure,,Reason,Yes,Emotions Ad,Somewhat effective,
169,45,Female,Urban,College,High,No,No,,Control,Positive,45,Female,Urban,College,High,No,No,,Emotions,Yes,Reason Ad,,Somewhat effective
170,45,Female,Rural,Graduate School,Low,No,No,,Control,Neutral,45,Female,Rural,Graduate School,Low,No,No,,Emotions,Yes,Reason Ad,,Somewhat effective
171,61,Female,Urban,Graduate School,High,No,No,,Emotions,Positive,61,Female,Urban,Graduate School,High,No,No,,Emotions,Yes,Other,,Somewhat effective
172,61,Male,Suburban,Graduate School,Medium,Yes,Not Sure,,Emotions,Neutral,61,Male,Suburban,Graduate School,Medium,Yes,Not Sure,,Emotions,Yes,Reason Ad,,Very effective
173,37,Male,Rural,High School,Medium,Yes,Yes,,Reason,Negative,37,Male,Rural,High School,Medium,Yes,Yes,,Emotions,Yes,Other,,Not at all effective
174,47,Female,Urban,College,Low,No,Yes,,Control,Negative,47,Female,Urban,College,Low,No,Yes,,Control,No,Not Applicable,,
175,28,Male,Urban,College,Medium,No,Not Sure,,Emotions,Positive,28,Male,Urban,College,Medium,No,Not Sure,,Reason,Yes,Other,Very effective,
176,45,Female,Urban,Graduate School,Medium,No,No,,Emotions,Neutral,45,Female,Urban,Graduate School,Medium,No,No,,Control,No,Not Applicable,,
177,42,Female,Urban,High School,High,Yes,No,,Emotions,Negative,42,Female,Urban,High School,High,Yes,No,,Reason,No,Not Applicable,Very effective,
178,56,Male,Urban,High School,High,No,Yes,,Control,Negative,56,Male,Urban,High School,High,No,Yes,,Reason,No,Not Applicable,Not at all effective,
179,50,Female,Rural,College,High,Yes,Not Sure,,Control,Neutral,50,Female,Rural,College,High,Yes,Not Sure,,Reason,Yes,Other,Somewhat effective,
180,18,Female,Urban,High School,High,Yes,Not Sure,,Control,Positive,18,Female,Urban,High School,High,Yes,Not Sure,,Control,No,Not Applicable,,
